STREETNUMBER,STREET,TOTALUNITS,BUSINESSOPERATOR,TOTALOUTSTANDING,LATITUDE,LONGITUDE,DETAILURL
183,DRAKE STREET,74,Society For Christian Care of Elderly,1,49.273303270000000,-123.122707600000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=183&street=DRAKE STREET
5626,DUNBAR STREET,8,J 110 Freecorp Holdings Ltd,2,49.235271370000000,-123.184990350000010,http://app.vancouver.ca/RPS_Net/Default.aspx?num=5626&street=DUNBAR STREET
2200,DUNDAS STREET,35,442746 BC Ltd,6,49.284541079999997,-123.059465970000010,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2200&street=DUNDAS STREET
143,DUNLEVY AVENUE,55,Atira Women's Resource Society,10,49.283361159999998,-123.095512600000010,http://app.vancouver.ca/RPS_Net/Default.aspx?num=143&street=DUNLEVY AVENUE
225,DUNLEVY AVENUE,109,Lookout Housing and Health Society,27,49.282855150000003,-123.095626100000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=225&street=DUNLEVY AVENUE
354,E 10TH AVENUE,12,Big Fortune Enterprises Co Ltd,3,49.261704150000000,-123.096836980000010,http://app.vancouver.ca/RPS_Net/Default.aspx?num=354&street=E 10TH AVENUE
414,E 10TH AVENUE,38,Fu D Ren & Feng B Yan,5,49.261306849999997,-123.095546770000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=414&street=E 10TH AVENUE
1556,E 10TH AVENUE,9,Anthony Ng & Yumy Ng,10,49.261117870000000,-123.072338180000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1556&street=E 10TH AVENUE
1629,E 10TH AVENUE,8,Jan Friedman,1,49.261635470000002,-123.071002310000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1629&street=E 10TH AVENUE
425,E 11TH AVENUE,57,Kensington Court Apts Ltd,1,49.260925749999998,-123.095548800000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=425&street=E 11TH AVENUE
44,E 13TH AVENUE,51,Van Center Management Inc,1,49.259061529999997,-123.104215930000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=44&street=E 13TH AVENUE
242,E 14TH AVENUE,20,HWP 242 14th Avenue Ltd,1,49.258124270000003,-123.099463640000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=242&street=E 14TH AVENUE
30,E 15TH AVENUE,29,Halla Manor Holdings Ltd,2,49.257284579999997,-123.104667019999990,http://app.vancouver.ca/RPS_Net/Default.aspx?num=30&street=E 15TH AVENUE
227,E 15TH AVENUE,8,Kin Quai Mah & Woo Wai Yin Mah,1,49.257745280000002,-123.100104390000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=227&street=E 15TH AVENUE
250,E 15TH AVENUE,6,Jimmy Chow,1,49.257218180000002,-123.099285190000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=250&street=E 15TH AVENUE
631,E 15TH AVENUE,12,667441 BC Ltd,2,49.257402560000003,-123.090236060000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=631&street=E 15TH AVENUE
657,E 15TH AVENUE,8,Nhung Thi Dinh & Thi T Dinh,1,49.257349849999997,-123.089676350000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=657&street=E 15TH AVENUE
137,E 16TH AVENUE,8,Alfred Dyck,1,49.256866340000002,-123.102146920000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=137&street=E 16TH AVENUE
210,E 16TH AVENUE,10,Yueko Enterprises Ltd,1,49.256325390000001,-123.100523490000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=210&street=E 16TH AVENUE
223,E 16TH AVENUE,23,East 16th Avenue Holdings Ltd,1,49.256842069999998,-123.100116550000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=223&street=E 16TH AVENUE
199,E 17TH AVENUE,8,Mighty Atom Holdings Inc,7,49.255873690000001,-123.101701100000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=199&street=E 17TH AVENUE
1421,E 2ND AVENUE,33,Yin Wan Enterprises Ltd,1,49.268999569999998,-123.074837030000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1421&street=E 2ND AVENUE
330,E 36TH AVENUE,117,Little Mtn Residential Care & Housing Society,2,49.237641289999999,-123.099928710000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=330&street=E 36TH AVENUE
2001,E 36TH AVENUE,8,Hardip Pawa & Surinder Pawa,3,49.237668329999998,-123.065027509999990,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2001&street=E 36TH AVENUE
1602,E 41ST AVENUE,15,Brightside Community Homes Foundation,1,49.232384820000000,-123.072567460000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1602&street=E 41ST AVENUE
686,E 43RD AVENUE,6,Lam & Son Investment Inc,4,49.230857890000003,-123.091018469999990,http://app.vancouver.ca/RPS_Net/Default.aspx?num=686&street=E 43RD AVENUE
1545,E 4TH AVENUE,8,Albert Weisstock,4,49.267160050000001,-123.072486810000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1545&street=E 4TH AVENUE
1722,E 4TH AVENUE,6,Jim Lee & Yu A Lee,1,49.266882129999999,-123.069073050000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1722&street=E 4TH AVENUE
525,E 5TH AVENUE,41,Prang Holdings Ltd,2,49.266431109999999,-123.091992140000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=525&street=E 5TH AVENUE
1650,E 5TH AVENUE,56,George & Miriam & Theresa Winkler,1,49.265730370000000,-123.071468650000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1650&street=E 5TH AVENUE
203,E 6TH AVENUE,17,Mighty Atom Holdings Inc,6,49.265641770000002,-123.100376270000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=203&street=E 6TH AVENUE
801,E 6TH AVENUE,188,262109 B C Ltd,3,49.265611960000001,-123.086251030000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=801&street=E 6TH AVENUE
1555,E 6TH AVENUE,44,Briscoe Holdings Ltd,3,49.265349030000003,-123.072666130000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1555&street=E 6TH AVENUE
1620,E 6TH AVENUE,41,Brightside Community Homes Foundation,2,49.264718760000001,-123.071350900000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1620&street=E 6TH AVENUE
133,E 7TH AVENUE,13,Antonio Chun Hung Lee (Antonio Lee),1,49.264870799999997,-123.102040740000010,http://app.vancouver.ca/RPS_Net/Default.aspx?num=133&street=E 7TH AVENUE
537,E 7TH AVENUE,9,Acona Investments Ltd,4,49.264600979999997,-123.092078009999990,http://app.vancouver.ca/RPS_Net/Default.aspx?num=537&street=E 7TH AVENUE
611,E 7TH AVENUE,106,R Markham,1,49.264586580000000,-123.090388750000000,http://app.vancouver.ca/RPS_Net/Default.aspx?num=611&street=E 7TH AVENUE
727,E 7TH AVENUE,38,Joseph Seccia & Mario Seccia,1,49.264570980000002,-123.088463200000010,http://app.vancouver.ca/RPS_Net/Default.aspx?num=727&street=E 7TH AVENUE
156,E 8TH AVENUE,12,C B T Holdings Ltd,7,49.263544119999999,-123.101427849999990,http://app.vancouver.ca/RPS_Net/Default.aspx?num=156&street=E 8TH AVENUE
